Food,Category,Popularity,Bryan Johnson,David Sinclair,Huberman,Mediterranean Diet,Keto Diet,MIND diet,Paleo Diet,Vegan Diet,Atkins Diet,Gluten-Free Diet,Vegetarian Diet,Flexitarian Diet,Autoimmune Protocol Diet,Longevity,Brain health (MIND),Alzheimer prevention,Muscle building,Overal/Average,Blue Zone Diet,Low Glycemic / Insulin Impact,Contaminant / Toxicity Risk,Comments
Almond Milk,Other,,8,8,8,8,10,8,10,10,10,10,10,10,10,8,8,8,5,9,5,5,5,
Almonds,Nut/Seed,,9,9,9,10,10,10,10,10,10,10,10,10,0,9,9,9,5,9,5,5,5,
Apple,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,
Asparagus,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Avocado,Fruit,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,5,5,5,
Avocado oil,Oil/Fat,,8,8,9,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.3125,5,5,5,
Bacon,Other,,3,3,4,0,10,0,10,0,10,10,0,10,0,3,3,3,5,4.3125,5,5,5,
Bagel,Other,,4,4,4,4,0,4,0,0,0,0,10,10,0,4,4,4,5,3.25,5,5,5,
Baguette,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,
Baked beans,Other,,6,6,6,10,0,10,0,10,0,10,10,10,0,6,6,6,5,6,5,5,5,
Banana,Fruit,,7,7,7,10,3,10,0,10,3,10,10,10,0,7,7,7,5,6.75,5,5,5,
Barley,Grain/Starch,,8,8,8,10,0,10,0,0,5,0,10,10,0,7,7,7,5,5.625,5,5,5,
Beans,Other,,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,
Beef,Animal Product,,5,4,5,5,10,0,10,0,10,10,0,10,10,5,4,5,5,5.8125,5,5,5,
Beetroot,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Bell pepper,Vegetable,,9,9,9,10,10,10,0,10,10,10,10,10,0,9,9,9,5,8.375,5,5,5,
Black Beans,Other,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,
Black beans,Legume/Pulse,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,
Blueberry,Fruit,,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,5,9.8125,5,5,5,
Bread,Other,,6,6,6,10,0,10,0,0,5,0,10,10,0,6,6,6,5,5.0625,5,5,5,
Bread pudding,Other,,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,5,1.5,5,5,5,
Bread salad,Other,,6,6,6,6,0,6,0,0,5,0,10,10,0,6,6,6,5,4.5625,5,5,5,
Breadfruit,Grain/Starch,,6,6,6,5,0,5,0,10,3,10,10,10,0,6,6,6,5,5.5625,5,5,5,
Broccoli,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Bruschetta,Other,,6,6,6,6,0,6,0,0,5,0,10,10,0,6,6,6,5,4.5625,5,5,5,
Buckwheat,Grain/Starch,,9,9,9,10,3,10,0,10,5,10,10,10,0,9,9,9,5,7.625,5,5,5,
Burgers,Other,,4,4,4,5,10,0,10,0,10,0,0,10,10,4,4,4,5,4.9375,5,5,5,
Burritos,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,
Butter,Animal Product,,5,5,5,5,10,0,0,0,10,10,0,0,0,5,5,5,5,4.0625,5,5,5,
Butter (salted),Oil/Fat,,5,5,5,5,10,0,0,0,10,10,0,0,0,5,5,5,5,4.0625,5,5,5,
Cabbage,Vegetable,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,8,5,5,5,
Cakes,Other,,3,3,3,0,0,0,0,0,0,0,10,10,0,3,3,3,5,2.375,5,5,5,
Calzones,Other,,4,4,4,4,0,4,0,0,0,0,10,10,0,4,4,4,5,3.25,5,5,5,
Canola oil,Oil/Fat,,6,6,6,5,10,5,0,0,10,10,10,10,0,6,6,6,5,6,5,5,5,
Carrot,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Cashews,Nut/Seed,,8,8,8,10,3,10,10,10,3,10,10,10,0,8,8,8,5,7.75,5,5,5,
Cassava,Grain/Starch,,5,5,5,5,0,5,0,10,3,10,10,10,0,5,5,5,5,5.1875,5,5,5,
Cauliflower,Vegetable,,8,8,8,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.25,5,5,5,
Cereal,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,
Cheddar Cheese,Other,,6,6,6,6,0,0,0,0,0,0,10,10,0,6,5,5,5,3.75,5,5,5,
Cheese,Animal Product,,6,6,6,5,0,0,0,0,0,0,0,0,0,6,5,5,5,2.4375,5,5,5,
Cherry,Fruit,,8,8,8,10,3,10,5,10,3,10,10,10,5,8,8,8,5,7.75,5,5,5,
Chia seeds,Nut/Seed,,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,5,9.375,5,5,5,
Chicken,Animal Product,,7,8,8,10,10,10,10,0,10,10,0,10,10,7,7,7,5,7.75,5,5,5,
Chicken Breast,Other,,7,8,8,10,10,10,10,0,10,10,0,10,10,7,7,7,5,7.75,5,5,5,
Chicken nuggets,Other,,3,3,3,0,0,0,0,0,0,0,10,10,0,3,3,3,5,2.375,5,5,5,
Chickpeas,Legume/Pulse,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,
Chili,Other,,6,6,6,6,0,6,0,0,0,10,10,10,0,6,6,6,5,4.875,5,5,5,
Chocolate,Other,,6,6,6,5,10,5,0,10,10,10,10,10,0,6,6,6,5,6.625,5,5,5,
Clam chowder,Other,,5,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,2.1875,5,5,5,
Club sandwich,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,
Coconut,Fruit,,7,6,6,10,10,10,10,10,10,10,10,10,10,7,7,7,5,8.75,5,5,5,
Coconut oil,Oil/Fat,,6,5,5,3,10,3,10,10,10,10,10,10,10,6,5,5,5,7.375,5,5,5,
Coleslaw,Other,,5,5,5,5,10,5,10,10,10,10,10,10,10,5,5,5,5,7.5,5,5,5,
Cookies,Other,,3,3,3,0,0,0,0,0,0,0,10,10,0,3,3,3,5,2.375,5,5,5,
Corn,Grain/Starch,,6,6,6,5,3,5,0,10,5,10,10,10,0,6,6,6,5,5.875,5,5,5,
Corn on the cob,Other,,6,6,6,10,0,10,0,10,0,10,10,10,0,6,6,6,5,6,5,5,5,
Croissant,Other,,3,3,3,3,0,3,0,0,0,0,10,10,0,3,3,3,5,2.75,5,5,5,
